algoritmo,size_kb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA256,1000,9,0.000541,0.000535,0.000159
SHA256,1000,10,0.000549,0.000553,0.000165
SHA256,1000,11,0.000542,0.000546,0.000157
SHA256,1000,12,0.000538,0.000520,0.000163
SHA256,1000,13,0.000542,0.000530,0.000160
SHA256,1000,14,0.000553,0.000603,0.000160
SHA256,1000,15,0.000548,0.000580,0.000157
SHA256,1000,16,0.000538,0.000528,0.000154
SHA256,1000,17,0.000542,0.000543,0.000160
SHA256,1000,18,0.000539,0.000523,0.000174
SHA256,1000,19,0.000545,0.000564,0.000160
SHA256,1000,20,0.000541,0.000534,0.000157
SHA256,1000,21,0.000550,0.000538,0.000156
SHA256,1000,22,0.000538,0.000526,0.000152
SHA256,1000,23,0.000542,0.000532,0.000157
SHA256,1000,24,0.000540,0.000530,0.000161
SHA256,1000,25,0.000542,0.000528,0.000156
SHA256,1000,26,0.000546,0.000530,0.000157
SHA256,1000,27,0.000537,0.000538,0.000156
SHA256,1000,28,0.000541,0.000532,0.000156
SHA256,1000,29,0.000540,0.000543,0.000162
SHA256,1000,30,0.000543,0.000528,0.000156
SHA256,1000,31,0.000547,0.000537,0.000159
SHA3_256,1,1,0.000027,0.000045,0.000186
SHA3_256,1,2,0.000006,0.000036,0.000013
SHA3_256,1,3,0.000005,0.000032,0.000009
SHA3_256,1,4,0.000010,0.000040,0.000010
SHA3_256,1,5,0.000008,0.000032,0.000009
SHA3_256,1,6,0.000008,0.000033,0.000009
SHA3_256,1,7,0.000006,0.000043,0.000013
SHA3_256,1,8,0.000008,0.000032,0.000009
SHA3_256,1,9,0.000009,0.000033,0.000009
SHA3_256,1,10,0.000006,0.000042,0.000013
SHA3_256,1,11,0.000006,0.000042,0.000013
SHA3_256,1,12,0.000008,0.000036,0.000009
SHA3_256,1,13,0.000008,0.000037,0.000009
SHA3_256,1,14,0.000008,0.000035,0.000008
SHA3_256,1,15,0.000005,0.000042,0.000013
SHA3_256,1,16,0.000008,0.000031,0.000009
SHA3_256,1,17,0.000005,0.000050,0.000009
SHA3_256,1,18,0.000008,0.000031,0.000009
SHA3_256,1,19,0.000008,0.000031,0.000009
SHA3_256,1,20,0.000008,0.000031,0.000009
SHA3_256,1,21,0.000008,0.000035,0.000009
SHA3_256,1,22,0.000005,0.000036,0.000009
SHA3_256,1,23,0.000008,0.000035,0.000008
SHA3_256,1,24,0.000008,0.000034,0.000008
SHA3_256,1,25,0.000008,0.000031,0.000008
SHA3_256,1,26,0.000008,0.000031,0.000009
SHA3_256,1,27,0.000008,0.000030,0.000009
